,Unnamed: 0,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
12,12,-144.10299999999995,1000.0,-44.8253,-76.2127,15.0379,1000.0,True,False,4.024369102895248,0.19566360149774134,0.6821912372526582,-1.0,0.3624360796135951,18.066116736478783,left
13,13,-144.086,1000.0,-44.7956,-76.24,15.0544,1000.0,True,False,4.0260384522156345,0.19638375457643548,0.6828034238101233,-1.0,0.3626842115894485,18.06124327736397,left
14,14,-144.005,1000.0,-44.3776,-76.1573,19.6256,1000.0,True,False,4.009485283422895,0.11433187042947612,0.3942148928326146,-1.0,0.364960771787,17.675945219385106,left
15,15,-143.99,1000.0,-44.3667,-76.1838,19.6448,1000.0,True,False,4.008861197105216,0.11455727207074184,0.3940324451671886,-1.0,0.36494163708076827,17.671931524006283,left
16,16,-146.268,1000.0,-21.5354,-63.3684,16.1016,1000.0,True,False,2.5765638415837286,0.28569298459785536,0.6340159362347231,-1.0,0.4268673065576121,19.15593677389162,left
17,17,-146.281,1000.0,-21.545,-63.3656,16.0908,1000.0,True,False,2.5774224231988923,0.2854248062646444,0.6338524152383924,-1.0,0.4268390273429408,19.152398686643373,left
18,18,-148.03799999999995,1000.0,-18.2929,-89.6699,12.309,1000.0,True,False,1.9881335781851208,0.8622764222472721,0.8678289869596079,-1.0,0.3428516645767793,19.169347647159054,left
19,19,-148.03799999999995,1000.0,-18.2942,-89.7039,12.3096,1000.0,True,False,1.9869773335368013,0.8625353400478191,0.8674051706597588,-1.0,0.3428345795818717,19.16614979653087,left
20,20,-143.298,1000.0,-15.9706,-90.4074,15.0423,1000.0,True,False,2.2286306763148884,1.0861839123460653,1.143869856660396,-1.0,0.19717991503144008,19.518909945113773,left
21,21,-143.322,1000.0,-15.97,-90.3834,15.0241,1000.0,True,False,2.227404184550733,1.0857547028148975,1.1437114889364544,-1.0,0.19732246665556147,19.519188912093693,left
22,22,-141.998,1000.0,-18.1247,-107.627,18.5062,1000.0,True,False,2.824308378785419,1.090881802548031,0.8835979424454564,-1.0,0.21487598196841504,17.439811454432608,left
23,23,-142.005,1000.0,-15.8574,-90.5478,17.5006,1000.0,True,False,2.8248192985312337,1.090485770175884,1.1450314918167062,-1.0,0.19513085892785545,17.777249955484077,left
24,24,-143.203,1000.0,-8.48976,-90.2771,18.4042,1000.0,True,False,2.2371904371465803,1.0886335153389408,1.0886761538481198,-1.0,0.08865090793556453,18.72458141954129,left
25,25,-143.17600000000004,1000.0,-8.475589999999999,-90.2752,18.427,1000.0,True,False,2.237680154670873,1.0890929306492196,1.0889148490190743,-1.0,0.08908078965170911,18.736757039113584,left
26,26,-146.111,1000.0,-9.81764,-131.47899999999998,18.4247,1000.0,True,False,2.5884523601499496,1.0604298309218905,0.821695815707673,-1.0,0.0425009031676222,18.703243627223614,left
27,27,-146.102,1000.0,-9.82453,-131.578,18.4285,1000.0,True,False,2.5873842277193564,1.060293475615208,0.8215366751642844,-1.0,0.04237292630122581,18.699421836768693,left
28,28,-146.024,1000.0,-9.77169,-114.75,18.5053,1000.0,True,False,2.5892509992313477,1.0784035075582936,0.8207082065078172,-1.0,0.10555267742762016,18.40885627722266,left
29,29,-142.114,1000.0,-18.1844,-114.756,18.4969,1000.0,True,False,2.859431645349074,1.0583627270118547,0.8829053032632387,-1.0,0.10556969468700043,18.413638200508352,left
30,30,-142.053,1000.0,-18.1506,-114.798,18.5573,1000.0,True,False,2.8604060933084194,1.0589677220168274,0.8823483577890802,-1.0,0.10588682977322317,18.417618862046087,left
31,31,-142.053,1000.0,-18.1495,-114.799,18.5576,1000.0,True,False,2.860285732586898,1.0590773286872648,0.8824432442127101,-1.0,0.1058873723721792,18.417185731305803,left
32,32,-139.012,1000.0,-15.9094,-90.3525,18.5728,1000.0,True,False,2.517600012811316,1.0598508762939511,1.1418699395305958,-1.0,0.08775033309418978,18.711831446653708,left
