frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
7872283,0,160.249,1000,-27.4851,-117.729,-21.897,1000,13.5394,2.52204,2.00186,-1,0.51156,-0.575407,968.378,1,0
7964533,0,163.555,1000,-22.77,-117.762,-18.5894,1000,10.3488,3.41409,2.72518,-1,0.488189,-0.548433,968.376,1,0
8011094,0,163.563,1000,-22.7571,-117.891,-18.5841,1000,10.3068,3.42515,2.73085,-1,0.487752,-0.548327,968.38,1,0
8082312,0,163.56,1000,-22.7309,-117.859,-18.5784,1000,10.2964,3.42921,2.73442,-1,0.48822,-0.548073,968.375,1,0
8197441,0,163.56,1000,-22.7336,-117.83,-18.5789,1000,10.3031,3.42831,2.73429,-1,0.488664,-0.548029,968.373,1,0
8263184,0,161.914,1000,-22.6659,-134.709,-19.7427,1000,8.35583,4.47345,2.68604,-1,0.733686,-0.533386,968.41,1,0
8313613,0,161.945,1000,-22.6627,-134.683,-19.7223,1000,8.35354,4.47322,2.68713,-1,0.733407,-0.533305,968.416,1,0
8404095,0,156.446,1000,-22.7199,-135.033,-23.2592,1000,8.94969,4.48383,2.68078,-1,0.736261,-0.533656,968.368,1,0
8543461,0,156.473,1000,-22.6896,-134.887,-23.2312,1000,8.9656,4.47817,2.68227,-1,0.735,-0.533499,968.373,1,0
8716465,0,161.65,1000,-31.0361,-134.88,-23.1527,1000,8.33602,4.5575,3.10636,-1,0.730347,-0.531908,968.367,1,0
8866428,0,161.608,1000,-31.0704,-135.007,-23.1941,1000,8.32135,4.56481,3.10601,-1,0.732323,-0.531891,968.377,1,0
8915684,0,161.575,1000,-31.1001,-135.13,-23.2266,1000,8.3174,4.57054,3.10511,-1,0.733639,-0.531604,968.401,1,0
9013938,0,167.289,1000,-31.079,-135.085,-19.7839,1000,7.86274,4.57366,3.10712,-1,0.735029,-0.531628,968.424,1,0
9123587,0,156.403,1000,-22.785,-135.14,-23.3098,1000,8.95261,4.50261,2.68742,-1,0.741422,-0.533277,968.377,1,0
9244049,0,156.404,1000,-22.7811,-135.134,-23.3073,1000,8.95247,4.50235,2.68754,-1,0.741247,-0.533292,968.376,1,0
9401748,0,161.873,1000,-22.7063,-135.086,-19.7865,1000,8.31446,4.50038,2.68743,-1,0.739468,-0.533079,968.413,1,0
9465516,0,167.303,1000,-31.0774,-135.069,-19.7752,1000,7.86385,4.57689,3.10899,-1,0.736289,-0.531283,968.417,1,0
