frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
8484394,0,-135.256,-71.2623,-58.7964,-141.309,11.2445,163.722,7.75959,5.15781,2.67558,3.24962,3.25085,-0.705635,1021.18,1,1
8515631,0,-135.274,-71.2598,-58.7872,-141.285,11.2245,163.749,7.75942,5.15619,2.67672,3.24626,3.24967,-0.705619,1021.19,1,1
8552521,0,-135.268,-71.2568,-67.4035,-146.016,12.3568,165.563,7.77038,5.16535,2.30061,3.25404,4.07363,-0.706778,1021.19,1,1
8635546,0,-135.234,-71.2146,-67.4103,-146.019,12.4078,165.569,7.77035,5.1651,2.29759,3.25825,4.07647,-0.706789,1021.19,1,1
8759888,0,-135.162,-73.5315,-67.4106,-140.258,12.5224,165.543,7.78446,5.09914,2.29471,4.24806,4.75229,-0.7081,1021.2,1,1
8842368,0,-135.094,-73.5544,-62.7928,-146.096,18.1427,159.355,7.65447,5.01644,1.59168,4.18656,4.01433,-0.721619,1021.19,1,1
8902798,0,-135.098,-73.5541,-62.7935,-146.088,18.1325,159.365,7.65477,5.01731,1.59251,4.18631,4.01531,-0.721569,1021.19,1,1
8972527,0,-135.123,-73.5362,-62.8317,-146.088,18.0917,159.384,7.64931,5.01451,1.59308,4.18419,4.01543,-0.72165,1021.18,1,1
9041304,0,-135.142,-73.5432,-62.8603,-146.097,18.0622,159.375,7.64769,5.01341,1.59389,4.18441,4.01537,-0.721669,1021.19,1,1
9222065,0,-135.143,-73.51,-62.8879,-146.101,18.0638,159.405,7.63971,5.00827,1.59171,4.17976,4.01399,-0.721856,1021.17,1,1
9314681,0,-135.122,-73.5243,-62.8755,-146.125,18.0993,159.358,7.64256,5.00971,1.59051,4.18504,4.01316,-0.721906,1021.17,1,1
9401606,0,-135.139,-66.7113,-62.9124,-146.149,18.0592,161.37,7.5157,4.93074,1.56663,4.48802,3.95,-0.710662,1018.51,1,1
9497602,0,-135.132,-66.698,-62.9052,-146.135,18.0732,161.393,7.51561,4.92931,1.56583,4.48542,3.94987,-0.710711,1018.51,1,1
9710629,0,-135.147,-71.2076,-67.4754,-146.217,12.5247,165.34,7.76312,5.16632,2.28914,3.27297,4.06887,-0.708045,1018.51,1,1
9754460,0,-135.147,-71.2079,-67.4763,-146.218,12.5252,165.339,7.76331,5.16638,2.28909,3.27303,4.06899,-0.708046,1018.51,1,1
9785139,0,-135.114,-73.5922,-62.8321,-146.207,18.105,159.203,7.64688,5.0183,1.59202,4.19801,4.00921,-0.722451,1018.5,1,1
9929116,0,-135.101,-73.5842,-62.8333,-146.212,18.125,159.211,7.64653,5.01821,1.591,4.19731,4.00966,-0.722493,1018.51,1,1
10031101,0,-135.085,-66.7295,-67.4312,-140.367,12.6064,166.863,7.64518,5.01866,2.25138,4.57103,4.67034,-0.697193,1018.47,1,1
10097746,0,-135.086,-63.6021,-67.4359,-146.179,12.6036,166.865,7.63002,5.08228,2.24713,3.59776,4.00667,-0.696187,1018.48,1,1
10162629,0,-135.17,-63.5455,-67.5029,-146.158,12.4665,166.954,7.61997,5.07704,2.25169,3.58684,4.00716,-0.696152,1018.47,1,1
10399184,0,-135.176,-63.5343,-67.4921,-146.139,12.4631,166.975,7.62063,5.07587,2.25178,3.58489,4.00662,-0.696154,1018.48,1,1
10571727,0,-135.119,-66.6975,-67.4599,-140.366,12.5521,166.921,7.63937,5.01833,2.25254,4.56373,4.67313,-0.697135,1018.48,1,1
10720533,0,-135.101,-66.7073,-67.4653,-140.378,12.5819,166.9,7.64252,5.0187,2.25151,4.56653,4.6734,-0.697181,1018.48,1,1
10795716,0,-135.135,-71.1557,-67.4722,-146.206,12.5228,165.421,7.75411,5.16964,2.28825,3.2682,4.07448,-0.707882,1018.47,1,1
10940765,0,-135.128,-71.1529,-67.4714,-146.208,12.5325,165.412,7.75444,5.1702,2.28789,3.27025,4.07511,-0.707882,1018.47,1,1
11079791,0,-139.391,-71.0562,-62.9393,-153.094,12.3544,159.471,6.76437,5.17001,1.6203,3.21967,3.53674,-0.70719,1018.48,1,1
11167231,0,-139.362,-71.058,-62.9293,-153.096,12.3929,159.451,6.76912,5.17146,1.62006,3.22371,3.53742,-0.707163,1018.49,1,1
11288038,0,-135.16,-73.5103,-67.4832,-146.25,12.4915,159.386,7.74809,5.16869,2.28757,4.22628,4.06988,-0.707453,1018.48,1,1
11382163,0,-135.173,-73.4931,-67.4826,-146.24,12.4795,159.413,7.74624,5.16531,2.28709,4.22115,4.06757,-0.707484,1018.48,1,1
11460842,0,-139.412,-70.9638,-62.9017,-152.992,12.3552,159.604,6.76282,5.16211,1.61815,3.21256,3.53646,-0.707229,1018.48,1,1
11510476,0,-139.41,-63.3472,-62.8955,-152.988,12.3548,161.606,6.6492,5.07642,1.59131,3.53264,3.4775,-0.695391,1018.49,1,1
11567440,0,-139.458,-59.2816,-62.9504,-152.966,12.286,167.126,6.64725,5.07607,1.59328,2.73174,3.48148,-0.695682,1018.48,1,1
11631601,0,-139.438,-63.4616,-62.9448,-146.148,12.3168,167.081,6.66128,5.00707,1.59515,3.57153,4.01058,-0.69695,1018.49,1,1
11696908,0,-139.436,-63.4299,-62.9622,-146.132,12.3123,167.126,6.65953,5.00549,1.59517,3.56813,4.01207,-0.696983,1018.49,1,1
11854203,0,-139.459,-59.281,-62.9639,-152.952,12.2791,167.149,6.64752,5.07473,1.59378,2.72911,3.48196,-0.695754,1018.48,1,1
11989741,0,-139.339,-71.0499,-62.9551,-146.197,12.4482,165.553,6.78012,5.09846,1.61808,3.26247,4.08549,-0.70892,1018.49,1,1
12115991,0,-139.345,-71.0239,-62.9562,-146.195,12.4444,165.576,6.7769,5.09746,1.61707,3.26069,4.08565,-0.708919,1018.48,1,1
12239094,0,-139.412,-70.8995,-63.0206,-146.209,12.3399,165.739,6.75277,5.1052,1.6159,3.25101,4.09983,-0.708416,1018.49,1,1
12292757,0,-139.415,-67.6282,-63.0124,-153.03,12.3395,165.735,6.74069,5.17245,1.6128,2.40085,3.55817,-0.707267,1018.49,1,1
12355856,0,-139.458,-70.7706,-67.5015,-146.479,6.62215,165.733,6.84332,5.25838,2.30345,3.26185,4.13504,-0.693323,1018.5,1,1
12440476,0,-139.464,-70.7673,-67.5091,-146.478,6.61897,165.738,6.84471,5.25736,2.30343,3.26129,4.13496,-0.693312,1018.51,1,1
12569528,0,-139.425,-70.7369,-67.499,-146.495,6.6216,165.721,6.83893,5.26681,2.30595,3.26929,4.14046,-0.693059,1018.51,1,1
12673139,0,-135.348,-70.7663,-53.5361,-153.075,12.3448,159.72,5.63795,6.26521,1.93326,3.14199,3.4731,-0.689481,1018.51,1,1
