frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
10122076,0,1000,-8.38337,-90.2909,-135.779,1000,179.8,-1,0.397065,0.374483,18.8763,0.780726,-0.811981,988.995,0,1
10157746,0,1000,-9.00704,-89.864,-146.194,1000,179.76,-1,0.809438,0.357277,15.7688,1.16865,-0.776804,989.071,0,1
10199677,0,1000,-8.99659,-89.822,-146.136,1000,179.772,-1,0.807742,0.357766,15.77,1.16661,-0.777013,989.072,0,1
10330279,0,1000,-8.98971,-89.6486,-146.155,1000,179.781,-1,0.823075,0.361637,15.9704,1.18347,-0.786387,991.875,0,1
10479637,0,1000,-8.99505,-89.7077,-146.149,1000,179.776,-1,0.821425,0.362008,15.9684,1.18289,-0.786475,991.872,0,1
10526147,0,1000,-9.02149,-89.6374,-146.068,1000,179.762,-1,0.820883,0.361055,15.9945,1.18241,-0.786536,991.878,0,1
10609424,0,1000,-9.01415,-89.6135,-146.076,1000,179.767,-1,0.821579,0.361257,15.9939,1.18254,-0.786494,991.885,0,1
10746796,0,1000,-13.2015,-65.6226,-135.566,1000,176.145,-1,0.815702,0.457317,16.1391,0.763747,-0.80269,991.898,0,1
10893062,0,1000,-13.1784,-89.6226,-145.78,1000,176.403,-1,0.811417,0.373315,15.9599,1.17614,-0.793945,991.96,0,1
10975771,0,1000,-13.1477,-89.5053,-145.748,1000,176.435,-1,0.813488,0.372597,15.9642,1.17678,-0.793759,991.965,0,1
11110496,0,1000,-13.1878,-89.7987,-145.821,1000,176.386,-1,0.808744,0.372293,15.9662,1.17605,-0.794078,991.959,0,1
11208736,0,1000,-13.1834,-89.938,-145.829,1000,176.384,-1,0.805829,0.372637,15.9761,1.17547,-0.794265,991.962,0,1
11297665,0,1000,-13.1408,-89.892,-145.75,1000,176.434,-1,0.80631,0.369967,15.9921,1.17709,-0.794134,991.987,0,1
11458400,0,1000,-13.1489,-89.9024,-145.752,1000,176.429,-1,0.806369,0.36878,15.991,1.1774,-0.794121,991.989,0,1
11670549,0,1000,-13.112,-89.5368,-145.873,1000,176.441,-1,0.823774,0.376578,16.1353,1.18905,-0.802076,994.731,0,1
11836154,0,1000,-13.1175,-89.5372,-145.895,1000,176.429,-1,0.823252,0.375399,16.1325,1.18772,-0.802078,994.735,0,1
12010833,0,1000,-13.1236,-89.3387,-145.896,1000,176.423,-1,0.826813,0.374727,16.1273,1.18726,-0.801941,994.766,0,1
12134414,0,1000,-13.1273,-89.3749,-145.897,1000,176.42,-1,0.826243,0.374554,16.13,1.18745,-0.80199,994.765,0,1
