angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-108.778,-61.3124,-11.3791,-161.639,45.0346,132.151,6.62893,4.6503,1.86033,11.5103,0.745241,-0.772332,1144.6,1,1,up
-108.84,-61.3354,-11.4817,-161.836,44.9157,132.139,6.59696,4.65693,1.85953,11.4983,0.747755,-0.772108,1144.61,1,1,up
-110.815,-61.3467,-11.4781,-161.863,41.3958,132.128,5.42631,4.64762,1.85537,11.4734,0.74629,-0.770469,1144.61,1,1,up
-116.772,-61.3608,-14.0492,-161.722,41.0807,132.068,6.02327,3.68093,1.27172,11.707,0.754146,-0.789114,1144.62,1,1,up
-111.027,-61.329,-11.3293,-161.686,41.1118,132.104,5.37317,4.6427,1.86741,11.4277,0.736608,-0.77028,1144.61,1,1,up
-108.84,-61.4418,-11.2975,-162.651,45.0376,132.016,6.51898,4.59778,1.8243,11.2454,0.737538,-0.784006,1144.64,1,1,up
-114.103,-65.477,-0.968519,-179.589,48.1283,129.479,7.01199,4.60158,1.14314,10.4807,1.15801,-0.784132,1144.64,1,1,up
-113.959,-65.9953,-14.2089,-179.602,45.1518,134.974,6.76806,5.62366,1.16234,6.82503,1.72269,-0.777743,1144.62,1,1,up
-118.874,-68.0419,-18.5287,-179.588,45.1225,132.13,7.52465,4.59137,0.712249,8.24982,1.7607,-0.794531,1144.62,1,1,up
-105.58,-68.0357,-21.4162,-169.056,48.1153,134.938,8.59276,6.69705,1.92249,7.71956,1.71076,-0.770723,1144.63,1,1,up
-111.684,-66.093,-11.4751,-179.616,45.0132,134.887,7.61289,6.60909,1.71369,6.45607,1.62705,-0.760003,1144.62,1,1,up
-101.728,-66.027,-18.41,-179.7,45.1617,135.075,6.80212,8.0406,2.53104,6.39421,1.64466,-0.751613,1144.62,1,1,up
-101.704,-66.023,-18.4578,-179.656,45.179,135.095,6.80937,8.04386,2.53186,6.39712,1.64646,-0.751514,1144.63,1,1,up
-101.623,-63.3805,-21.7359,-169.133,48.7825,137.916,6.99869,6.7031,1.92055,8.307,1.72017,-0.77067,1147.46,1,1,up
-101.651,-63.3872,-21.6836,-169.142,48.7614,137.909,6.98996,6.7028,1.91911,8.3074,1.72027,-0.770619,1147.45,1,1,up
-106.771,-63.3519,-30.6532,-169.04,41.2093,137.956,7.08221,6.76266,2.20465,8.11606,1.68015,-0.75691,1147.5,1,1,up
-106.744,-63.3383,-30.6217,-168.99,41.2251,137.971,7.09209,6.76745,2.20942,8.11682,1.67893,-0.756794,1147.49,1,1,up
-105.397,-61.1984,-26.8562,-179.372,41.6016,135.05,8.26672,6.94658,2.8346,6.8436,1.0504,-0.763545,1147.5,1,1,up
-106.768,-61.1669,-26.5471,-166.577,38.1531,138.149,7.11257,6.76563,2.87409,6.97491,1.12968,-0.757381,1147.49,1,1,up
-105.35,-59.1581,-30.9713,-166.064,44.7793,137.965,8.49817,5.62043,2.2439,8.91778,1.12547,-0.784146,1147.48,1,1,up
-105.343,-56.6186,-30.9833,-179.235,44.789,137.957,8.45505,5.89867,2.23177,7.69998,1.05599,-0.779684,1147.5,1,1,up
-106.754,-59.1603,-31.0055,-165.947,41.0825,137.977,7.18525,5.61882,2.24892,8.91281,1.12387,-0.782973,1147.47,1,1,up
-106.741,-59.1347,-30.9718,-165.924,41.1061,137.98,7.18529,5.61173,2.24788,8.91528,1.1209,-0.783199,1147.47,1,1,up
-106.863,-56.6634,-30.9422,-179.395,40.9881,137.872,7.12029,5.89099,2.23074,7.68186,1.05077,-0.778653,1147.51,1,1,up
-106.866,-56.6538,-31.0187,-179.344,40.9607,137.895,7.11663,5.88991,2.2314,7.68118,1.05142,-0.778628,1147.51,1,1,up
-111.79,-63.3435,-26.6796,-166.108,35.0768,135.154,7.33478,6.57615,2.82371,7.90372,1.08874,-0.755331,1147.47,1,1,up
-111.788,-63.3159,-26.6786,-166.062,35.0879,135.177,7.33089,6.56808,2.82026,7.9075,1.08821,-0.755503,1147.47,1,1,up
-111.769,-63.5976,-33.5913,-166.469,31.2544,134.887,7.31664,6.85924,3.2308,7.85562,1.08293,-0.750335,1147.48,1,1,up
-111.768,-63.5981,-33.5912,-166.463,31.2525,134.885,7.31633,6.85913,3.23127,7.85691,1.08272,-0.750343,1147.48,1,1,up
-110.035,-63.5155,-33.4864,-166.322,35.1275,134.992,8.61266,6.87639,3.24157,7.85799,1.08485,-0.751228,1147.47,1,1,up
-114.323,-63.4988,-33.4708,-166.289,32.6761,135.017,9.01908,6.78333,3.19855,7.74583,1.07,-0.741127,1147.47,1,1,up
-105.601,-61.3861,-29.785,-147.229,35.1531,135.134,8.20789,6.527,4.00363,9.87174,0.83652,-0.756409,1147.49,1,1,up
-106.999,-61.4453,-23.5969,-161.525,35.0866,132.234,6.8416,6.43859,3.53952,9.72124,0.648982,-0.764956,1147.48,1,1,up
-106.997,-61.468,-23.6368,-161.54,35.0996,132.188,6.86058,6.44024,3.5437,9.74113,0.647895,-0.764952,1147.45,1,1,up
-105.606,-61.4321,-29.8416,-147.456,35.1516,135.05,8.22763,6.53861,4.00899,9.87839,0.83424,-0.75622,1147.46,1,1,up
-105.476,-57.6584,-26.6039,-146.958,41.5631,137.955,8.43799,5.33456,2.89871,10.9527,0.849686,-0.777055,1144.64,1,1,up
-105.48,-57.6583,-26.6266,-146.915,41.5495,137.964,8.43325,5.33269,2.89812,10.9572,0.850717,-0.777075,1144.64,1,1,up
-105.504,-55.2319,-33.5693,-146.735,37.8628,141.223,8.39429,5.50558,3.32591,9.62912,0.853817,-0.774061,1144.62,1,1,up
-106.897,-55.2363,-26.7198,-146.76,37.8673,141.206,7.12043,5.33875,2.90517,9.65987,0.855314,-0.776779,1144.62,1,1,up
-106.908,-59.0798,-33.6064,-153.545,33.8399,141.161,6.9388,6.52974,3.25707,8.65277,1.25481,-0.757812,1144.61,1,1,up
-100.812,-61.3074,-33.6046,-153.758,41.0665,138.02,8.0209,6.61761,3.28637,10.0365,1.27488,-0.768365,1144.64,1,1,up
-100.81,-61.3051,-33.6059,-153.758,41.0613,138.027,8.01853,6.6184,3.28666,10.0329,1.27515,-0.768364,1144.64,1,1,up
-111.652,-59.166,-26.9459,-161.443,35.0391,135.178,7.37815,5.45757,2.8549,8.69218,0.667556,-0.782374,1144.6,1,1,up
-113.734,-59.1794,-26.957,-161.47,31.1309,135.164,6.20569,5.45107,2.85238,8.67209,0.666058,-0.780825,1144.6,1,1,up
-109.934,-59.2079,-33.6139,-161.455,35.0643,135.144,8.60445,5.73179,3.2623,8.63781,0.663855,-0.778119,1144.59,1,1,up
-109.936,-59.2206,-33.6038,-161.542,35.0638,135.122,8.60625,5.73575,3.26327,8.63298,0.663341,-0.778082,1144.58,1,1,up
-111.783,-65.4846,-33.6666,-165.882,31.0558,132.285,7.1479,6.75405,3.18974,8.97318,1.07539,-0.759241,1144.58,1,1,up
-111.811,-68.0869,-33.6631,-168.509,31.0395,135.079,7.03477,7.86646,3.13861,7.10075,1.58352,-0.746442,1144.58,1,1,up
-113.892,-68.0513,-33.7024,-158.471,26.8273,138.337,6.04728,7.71196,3.19802,7.20728,1.78726,-0.739492,1144.58,1,1,up
-107.066,-68.0538,-33.7087,-158.521,33.587,138.346,6.86842,7.82946,3.24429,7.30449,1.81474,-0.750553,1144.59,1,1,up
-105.59,-66.0325,-33.6679,-168.611,37.7766,138.309,8.15253,8.10192,3.22966,6.13357,1.63033,-0.748262,1144.53,1,1,up
-105.594,-66.0658,-33.663,-168.634,37.7566,138.304,8.15207,8.11706,3.2329,6.13389,1.63472,-0.747922,1144.53,1,1,up
-108.567,-73.0041,-38.3062,-170.308,41.3712,135.099,9.83295,8.02206,2.54933,6.76685,2.26023,-0.758367,1141.74,1,1,up
-104.419,-73.045,-33.6451,-170.342,41.381,135.07,9.2535,9.19205,3.1326,6.64238,2.22066,-0.743879,1141.74,1,1,up
-108.577,-73.1052,-38.252,-170.414,41.3895,135.011,9.85468,8.03851,2.55121,6.76399,2.2622,-0.758142,1141.7,1,1,up
-108.56,-73.0728,-38.2313,-170.374,41.3912,135.042,9.84671,8.03687,2.55168,6.7638,2.26153,-0.758173,1141.71,1,1,up
-104.322,-70.0004,-33.6259,-161.56,41.51,137.951,9.1945,8.82434,3.10447,8.19976,2.3787,-0.737523,1141.71,1,1,up
-108.543,-74.5642,-38.3858,-163.967,41.4366,137.902,9.59585,8.8353,2.4793,7.80843,3.11963,-0.737323,1141.72,1,1,up
-110.004,-68.2389,-38.4185,-170.229,37.7545,137.992,8.32134,7.91995,2.51186,7.08694,2.24315,-0.747584,1141.71,1,1,up
-110.017,-68.2618,-38.4244,-170.246,37.7347,137.978,8.32251,7.92449,2.51337,7.08482,2.24397,-0.74749,1141.71,1,1,up
-113.785,-72.9162,-38.5798,-161.79,29.2866,138.376,6.13189,7.8378,2.57968,6.88462,2.48474,-0.749446,1141.71,1,1,up
-113.797,-72.9147,-38.5936,-161.789,29.2626,138.383,6.1278,7.83805,2.57981,6.88379,2.48548,-0.749428,1141.71,1,1,up
-113.941,-66.1583,-38.7062,-170.374,29.0031,141.24,5.99238,8.02005,2.54166,6.01478,2.27861,-0.735759,1141.64,1,1,up
-113.947,-66.1813,-38.7086,-170.397,29.0141,141.217,5.99731,8.02181,2.5412,6.01614,2.27931,-0.735729,1141.64,1,1,up
-111.841,-66.2111,-38.7645,-170.334,33.6753,141.19,7.19655,8.00562,2.53791,6.02653,2.27733,-0.737887,1141.6,1,1,up
