angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-153.332,-26.4977,-36.6039,-150.243,4.83007,179.894,2.0545,3.14093,0.64915,2.08217,1.65943,-0.633552,529.597,1,1,center
-150.439,-26.4277,-36.6794,-150.267,5.1657,179.928,1.71333,3.17414,0.656735,2.10267,1.67741,-0.641738,529.589,1,1,center
-156.483,-26.4521,-27.318,-156.3,5.0906,176.412,1.52149,3.14001,0.529207,2.07795,1.4926,-0.652327,529.591,1,1,center
-159.08,-26.5336,-27.3718,-156.28,4.62598,176.38,1.86659,3.10271,0.523324,2.05311,1.47555,-0.644213,529.589,1,1,center
-159.032,-26.5344,-27.3461,-156.294,4.66876,176.376,1.86732,3.10333,0.523344,2.05197,1.47529,-0.644096,529.594,1,1,center
-159.05,-26.5119,-34.0036,-156.273,5.06422,176.377,1.92658,2.67557,0.363408,2.11919,1.51886,-0.66468,529.57,1,1,center
-159.16,-26.396,-27.3931,-153.08,4.5823,176.195,1.92917,2.67388,0.539192,2.11782,1.19728,-0.66575,529.545,1,1,center
-159.007,-26.4908,-27.3467,-153.081,4.68758,176.147,1.92882,2.68134,0.540355,2.12074,1.20029,-0.665366,529.542,1,1,center
-153.336,-26.7205,-36.9001,-146.246,4.71413,179.871,2.09917,2.67363,0.665018,2.13292,1.37506,-0.66452,528.309,1,1,center
-159.052,-26.6013,-37.0379,-146.241,0.143432,179.956,1.95418,2.70667,0.674994,2.15791,1.39363,-0.653723,528.295,1,1,center
-147.81,-33.8532,-50.9397,-135.29,0.353497,179.716,2.3518,2.66779,1.07463,3.06159,1.87245,-0.646461,528.291,1,1,center
-138.947,-37.8036,-50.0693,-130.046,4.42732,176.008,2.93213,2.61599,1.57464,3.3615,1.59258,-0.658258,528.248,1,1,center
-138.979,-33.9613,-55.9383,-134.964,4.67707,179.817,2.91533,2.61376,1.34859,3.04737,1.86975,-0.657189,528.269,1,1,center
-138.852,-40.9728,-59.6666,-130.907,0.423895,179.707,2.99751,2.677,1.6981,3.02541,2.2307,-0.655495,528.279,1,1,center
-138.827,-40.9444,-59.6865,-130.909,0.457599,179.724,2.99997,2.67766,1.69703,3.02971,2.23418,-0.655354,528.303,1,1,center
-142.892,-40.9325,-56.0164,-130.92,0.373688,179.754,2.68149,2.70238,1.383,3.02516,2.23518,-0.655638,529.556,1,1,center
-139.014,-36.9246,-55.9661,-139.162,4.67137,179.829,2.86313,3.07492,1.32203,2.58867,2.15265,-0.644543,529.571,1,1,center
-139.044,-40.8094,-55.9574,-139.164,4.67607,176.359,2.86324,3.07217,1.32,2.8924,2.15077,-0.644833,529.601,1,1,center
-143.115,-40.8788,-51.2694,-139.218,4.70363,176.334,2.5562,3.09891,1.05564,2.88411,2.15115,-0.645344,530.879,1,1,center
-143.184,-40.7571,-45.1898,-139.244,4.28742,176.423,2.46898,3.55226,1.23549,2.79413,2.08956,-0.625571,530.887,1,1,center
-147.847,-36.6671,-44.8889,-139.474,0.310347,179.862,2.23422,3.59578,1.2352,2.52028,2.10292,-0.615312,530.895,1,1,center
-147.75,-36.7869,-50.9075,-139.484,0.413051,179.779,2.30874,3.14683,1.05418,2.60108,2.16775,-0.634662,530.857,1,1,center
-144.334,-36.6808,-44.8179,-139.458,0.385198,179.855,1.88537,3.6412,1.2491,2.55225,2.12828,-0.62216,529.595,1,1,center
-148.035,-32.1074,-44.6789,-144.349,4.76377,179.817,2.26371,3.10601,0.819479,2.29279,1.8706,-0.645169,530.86,1,1,center
-153.272,-32.0299,-36.8337,-144.382,4.75484,179.856,2.0347,3.17459,0.646526,2.28366,1.86576,-0.643395,530.877,1,1,center
-159.016,-26.5093,-27.3147,-156.267,4.67734,176.403,1.86901,3.11093,0.52495,2.05594,1.47834,-0.644777,530.867,1,1,center
-159.062,-26.4386,-27.268,-156.289,4.65503,176.422,1.85923,3.10402,0.522744,2.0549,1.47541,-0.644129,529.6,1,1,center
-159.049,-26.4535,-27.2902,-156.29,4.64288,176.406,1.85631,3.10688,0.523198,2.05953,1.47718,-0.643847,529.578,1,1,center
-153.403,-26.6732,-36.9254,-149.984,4.60734,179.934,2.02523,3.1048,0.645886,2.06685,1.6502,-0.643844,529.567,1,1,center
-147.79,-36.7186,-50.9267,-139.442,0.35125,179.826,2.30285,3.14028,1.05404,2.59934,2.1645,-0.633719,529.57,1,1,center
-143.039,-40.8563,-51.2818,-139.202,4.73991,176.306,2.54898,3.08922,1.05382,2.88625,2.14452,-0.643264,528.316,1,1,center
-135.433,-36.8593,-56.0352,-139.181,4.98185,179.856,2.51761,3.1057,1.33595,2.61749,2.17676,-0.651613,528.311,1,1,center
-135.374,-40.9072,-55.9891,-135.108,5.08784,179.778,2.52287,3.12496,1.33454,2.92574,2.47686,-0.65133,528.311,1,1,center
-138.95,-40.8729,-55.9631,-130.943,4.71499,179.771,2.94688,2.66955,1.36093,2.98836,2.20686,-0.664675,528.313,1,1,center
-138.922,-40.8897,-55.9642,-135.038,4.74813,176.039,2.95622,2.6539,1.36398,2.9915,1.90026,-0.666386,529.55,1,1,center
-139.016,-40.8908,-56.0688,-139.241,4.62754,176.287,2.86269,3.07616,1.32292,2.8959,2.15468,-0.64601,530.865,1,1,center
-143.148,-37.8448,-45.2211,-135.208,4.29884,176.365,2.51575,3.08866,1.25896,3.24076,1.8304,-0.63749,532.165,1,1,center
-143.058,-37.8226,-44.8512,-139.292,4.35965,176.546,2.44236,3.54894,1.23558,3.14664,2.06595,-0.616952,532.192,1,1,center
-143.162,-33.8285,-39.9129,-144.076,3.95978,176.569,2.37212,3.99915,1.45535,2.76503,1.76051,-0.599743,533.477,1,1,center
-147.912,-32.0555,-39.5664,-144.377,0.223001,179.866,2.16911,4.09317,1.47606,2.1824,1.78684,-0.596189,533.474,1,1,center
-153.345,-31.8083,-26.8322,-149.982,3.95532,176.363,1.9194,4.07558,1.09098,2.14749,1.5585,-0.605812,533.499,1,1,center
-159.029,-26.588,-26.5568,-150.272,0.22011,179.878,1.77659,4.12229,1.09877,1.95423,1.56688,-0.595744,533.487,1,1,center
-153.261,-26.6362,-26.5396,-150.264,4.1375,179.847,1.93637,4.12429,1.09874,1.95813,1.56806,-0.595614,533.485,1,1,center
-153.308,-26.638,-19.1412,-156.344,7.84245,176.304,1.92018,4.07426,0.97359,1.93424,1.39217,-0.605865,533.501,1,1,center
-159.012,-26.6829,-19.1515,-156.305,3.98866,176.3,1.76243,4.07559,0.97549,1.93244,1.39161,-0.606392,534.745,1,1,center
-153.186,-26.7437,-26.7331,-156.306,4.09652,176.257,1.92331,4.06074,1.09215,1.94064,1.39559,-0.606763,534.753,1,1,center
-153.307,-31.85,-26.8321,-150.076,3.97963,176.322,1.92261,4.08083,1.0925,2.14079,1.55795,-0.60611,534.732,1,1,center
-150.824,-31.97,-33.6228,-150.047,3.78296,176.245,2.51957,4.05807,1.25563,2.14635,1.55772,-0.589456,534.74,1,1,center
-143.289,-32.1831,-35.5097,-144.46,3.81214,179.74,2.34905,4.58619,1.72583,2.1246,1.73608,-0.579273,534.74,1,1,center
-147.724,-36.6771,-35.5605,-139.492,0.28097,179.876,2.10742,4.6031,1.72552,2.37444,1.98614,-0.579204,534.743,1,1,center
-143.11,-36.7348,-39.8932,-144.079,3.97121,176.355,2.39674,4.05074,1.47414,2.42574,1.78215,-0.60631,533.489,1,1,center
-147.776,-33.824,-44.5159,-139.421,0.341789,179.886,2.20301,3.59068,1.23528,2.8724,2.0812,-0.606839,532.177,1,1,center
-152.998,-32.0899,-38.6647,-144.357,0.336849,179.836,2.00824,3.60323,1.02115,2.25259,1.84048,-0.615206,530.871,1,1,center
-144.365,-36.7749,-44.8988,-139.53,0.396283,179.754,1.89732,3.64257,1.25042,2.55645,2.12867,-0.622983,530.896,1,1,center
-143.024,-37.8541,-50.9732,-139.351,4.72847,176.545,2.50987,3.09539,1.04707,3.23677,2.13294,-0.636561,532.152,1,1,center
-143.051,-37.9007,-50.9476,-139.327,4.72803,176.525,2.51591,3.09612,1.04866,3.23621,2.13205,-0.636528,532.172,1,1,center
-139.412,-37.8172,-44.901,-139.353,4.74386,176.557,2.10964,3.59002,1.2457,3.1796,2.09359,-0.624852,532.189,1,1,center
-147.785,-33.8712,-50.6195,-139.549,0.369703,179.798,2.27549,3.13845,1.04921,2.96242,2.14531,-0.626515,533.455,1,1,center
-148.003,-29.5355,-38.6581,-140.55,4.46296,179.722,2.27353,3.13897,1.03985,2.68883,1.57217,-0.6268,533.469,1,1,center
-153.375,-31.8694,-31.2468,-149.992,4.30336,176.34,2.00918,3.61816,0.857363,2.23558,1.62538,-0.615442,533.482,1,1,center
-153.487,-31.7851,-26.9365,-149.972,3.95399,176.402,1.92731,4.04577,1.07618,2.14112,1.55785,-0.607307,533.493,1,1,center
